Name;WIOD code
Berkshire Hathaway, Inc.;K65
Walmart, Inc.;G47
Amazon.com, Inc.;G47
Dollar Tree, Inc.;G47
Target Corp.;G47
Costco Wholesale Corp.;G47
Lowe's Cos., Inc.;G47
The Home Depot, Inc.;G47
Walgreens Boots Alliance, Inc.;G47
FAST RETAILING CO., LTD.;G47
Dollar General Corp.;G47
United Natural Foods, Inc.;G46
Ingram Micro, Inc.;G46
Yamada Holdings Co., Ltd.;G47
The Kroger Co.;G47
American Eagle Outfitters, Inc.;G47
Capri Holdings Ltd;G47
Gap, Inc.;G47
Guess?, Inc.;C14
Best Buy Co., Inc.;G47
The Coca-Cola Co.;C11
PepsiCo, Inc.;C11
Tritax Big Box REIT Plc;L68
Duke Realty LP;L68
BellRing Intermediate Holdings, Inc.;C10
BBK Electronics Corp., Inc.;C26
Paris Saint-Germain Football SA;Q
Nice-Pak Products, Inc.;C17
FKA Distributing Co. LLC;G46
Telstra Corp. Ltd;J61
